Rank,Name,Initial,Year GDP
1,1,USA,201999.6
2,2,CHN,131186.9
3,3,JPN,50631.3
4,4,DEU,39348.1
5,5,FRA,27656.0
6,6,GBR,26612.3
7,7,IND,26541.7
8,8,BRA,21997.2
9,9,ITA,20489.9
10,10,CAN,17634.9
11,11,KOR,15973.9
12,12,RUS,15229.0
13,13,AUS,14822.8
14,14,ESP,14199.3
15,15,MEX,12499.7
16,16,IDN,10921.4
17,17,TUR,9057.16
18,18,NLD,8910.37
19,19,CHE,7087.96
20,20,SAU,7084.87
21,21,ARG,6392.24
22,22,SWE,5949.78
23,23,TWN,5882.77
24,24,POL,5713.23
25,25,BEL,5293.42
26,26,THA,4666.23
27,27,NGA,4606.6
28,28,AUT,4424.16
29,29,NOR,4064.58
30,30,ARE,4009.02
31,31,IRN,3984.32
32,32,ISR,3616.09
33,33,ZAF,3611.55
34,34,PHL,3577.92
35,35,IRL,3571.71
36,36,DNK,3515.63
37,37,HKG,3447.81
38,38,MYS,3409.23
39,39,COL,3224.89
40,40,SGP,3168.72
41,41,BGD,2736.18
42,42,FIN,2718.16
43,43,CHL,2652.24
44,44,CZE,2379.97
45,45,VNM,2346.88
46,46,PRT,2221.17
47,47,PER,2217.1
48,48,GRC,2215.66
49,49,NZL,2151.72
50,50,VEN,2077.89
